,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,356,311165699,"""RAYIM FARM INVEST"" MCHJ","
Sirdaryo viloyati, Mirzaobod tumani, Toshkent QFY Tinchlik MFY, Oq maktab ko`chasi, 9-uy",972456595,direktor,ABDUSALOMOV FARRUXJON RAYIMQUL O`G`LI,,00450,20208000207021321001,573 от 12.02.2025,ожидания,,,,,,,,,
,357,309846292,"""UMAR FARM-CITY"" MCHJ","Buxoro viloyati, Qorako'l tumani, Qorako'l QFY Eski Qal'a mfy, Eski Qal'a ko'chasi, 153-uy",97 7758324,direktor,SALOXIDDINOV SAIDJON ZAYRIDDIN O‘G‘LI,,00450,20208000805569458001,574 от 13.02.2025,ожидания,,,,,,,,,
,358,301323919,"""PISKENT SHIFO"" MCHJ","
Toshkent viloyati, Olmaliq sh. Ulug'bek ko'chasi",997943497,direktor,"
BO‘RIYEV UMID ABDUG‘OFIR O‘G‘LI",,00459,20208000704801577001,575 от 17.02.2025,не отправрено,farangiz,,tosh obl,,,,,,
,359,311512789,"""DOLINA EVRO FARM PLYUS"" MCHJ","Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi Toshloq MFY, Uchkun ko'chasi, 2A-uy",945508080,direktor,MAMASIDIKOVA MAXFUZA ODILOVNA,,00083,20208000607131081001,576 от 17.02.2025,принито,NODIRA,97/045-50-05,MARGILON,,,,,151100,
,360,305050267,"""CHUST MEDIKAL LYUKS"" XK","Namangan viloyati, Chust tumani, Chust shahri Sabzazor MFY , N.Turg'unov ko'chasi 55-uy",913497674,direktor,MAXAMADINOV MARDON BAXODIROVICH,,00491,20208000800799130001,577 от 17.02.2025,,,,,,,,,,
,361,310497089,"""DONOXON MEGA-FARM"" MCHJ ","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Cho'mich mahallasi, Cho'mich ko'chasi, 36-uy",888909905,direktor,SUYUNOVA DILNOZA TURAYEVNA,,00491,20208000505653609001,578 от 17.02.2025,,,,,,,,,,
,362,303323465,"""AL-AZIZ AYUBHON"" MCHJ","Buxoro viloyati, Vobkent tumani, Vobkent shahri Tadbirkor ko'chasi, 47-yu",919745566,direktor,FUZAYLOV KOMILJON AYUBJONOVICH,,00083,20208000100470749001,579 от 17.02.2025,,,,,,,,,,
,363,308456691,"""AVITSENNA FARM SINTES"" MCHJ","Buxoro viloyati, Buxoro sh. Piridastgir ko`chasi yoqasida joylashgan bino (""KARZINKA-3"" YONIDA)",91 9770307,direktor,SALOXIDDINOV SAIDJON ZAYRIDDIN O‘G‘LI,,00401,20208000405384488001,580 от 18.02.2025,,,,,,,,,,
,364,201360869,"""FARXOD"" XK",Сурхондарё вилояти Кумкургон тумани Янги шахар махалласи Ибн-Сино кучаси 7/1-уй,91)191-2828,direktor, OLIMOV ISMOIL RAJABOVICH,,00754,20208000700358807001,581 от 18.02.2025,,,,,,,,,,
,365,303461595,""" PARADISE PHARM"" MCHJ","г. Самарканд, ул. Рудакий, дом 179А",,direktor,Авулкосимов Ж.З.,,00450,20208000300508256001,582 от 19.02.2025,принито,Komil,,samarqand,,,,,,
,366,305965955,"""PULSE PHARM"" MCHJ","Farg'ona viloyati, Quva tumani, Quva shahri A.Yassaviy ko'chasi,  27-uy",973440040,direktor,ASKAROV ZAFARBEK BOXODIRJONOVICH,,00450,20208000400971703001,583 от 20.02.2025,,,,,,,90/160-97-09 БРОНШИГИ ,91/112-72-27 БУХ,,
,367,300499185,"""ABDUJABBOROVA AROFATXON"" MCHJ","
Farg'ona viloyati, Marg'ilon sh. Diyor ko'chasi, 9-uy",982766585,direktor,TADJIBAYEVA MATLUBAXON MAXAMADOVNA,,00401,20208000004627885001,584 от 20.02.2025,,,,,,,,,,
,368,201298295,"""AS-NAL"" XK ","
Qoraqalpog'iston Respublikasi, Nukus sh. 23 kichik tuman, 1/6-uy, 27-xonadon",612240290,direktor,ASFANDIYAROV NAIL NAJIBAYEVICH,,01038,20208000200411815001,585 от 20.02.2025,,,,,,,,,,
,369,303137926,"""ELIXIR PHARM"" XK  ","Toshkent shahri, Olmazor tumani Farobiy ko'chasi, 2a-uy",974108799,direktor,ESHONKULOV ABDIHAFIZ ISKANDAROVICH,,01121,20208000200417359001,586 от 20.02.2025,,,,,,,,,,
,370,201459481,"""DARMON"" XK","Toshkent viloyati, Angren sh. 10-daha, Bunyodkor ko'chasi",936038696,direktor,ISMAILOVA DILFUZA UKTAMOVNA,,00450,20208000100130505001,587 от 21.02.2025,,,,,,,,,,
,371,310599809,"""UMAR DARMON MED"" MCHJ","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Eski kal'a mfy, Tabiblar ko'chasi, 177-uy",94 5447774,direktor,OCHILOV UMIDJON UMAROVICH,,00450,20208000605667340001,588 от 24.02.2025,,,,,,,,,,
,372,305105480/3 SH,"""SHOH BOBUR FARM""MCHJ ","Farg'ona viloyati, Farg'ona sh. O'zbekiston ko'chasi, 9A-uy",905610902,direktor,ABDUBANOPOVA GULJAXON XOLJURAYEVNA,,00083,20208000100808473001,459 от 25.09.2024,ожидания,NODIRA ,,FARGONA,,,Salohiddin,90/561-09-02      88/206-66-19,,
,373,307900204,"""HEALING PHARM"" MCHJ","Samarqand viloyati, Kattaqo'rg'on sh. Zarifobod mahallasi, O'zbekiston ko'chasi, 139-uy",98 1700722,direktor,AZIMOV BOBURJON ALISHER O‘G‘LI,,00083,20208000705303903001,589 от 24.02.2025,ожидания,Zumrad ,,Navoiy,,,,,,
,374,307782122,"""EL RAYAN"" MCHJ","Andijon viloyati, Ulug'nor tumani, Oq oltin shaharchasi Chinnigul ko'chasi",912141579,direktor,KARIMQULOVA MUKARRAMXON CHINBERDIYEVNA,,00083,20208000805285459001,590 от 24.02.2025,,,,,,,,,,
,375,308177264,"""UMID SADAF FARM"" MCHJ","Buxoro viloyati, Kogon sh. Buxoro shoh ko`chasi, 41-uy", 97 3031487,direktor,ESHONKULOVA DILBAR KAYIMOVNA,,01037,20208000805345535001,591 от 24.02.2025,ожидания,Sayohat,,Buxoro,,,,,,
,376,,,,,,,,,,,,,,,,,,,,
,377,204498384,"""ZEBU JAXON"" XK","Buxoro viloyati, Jondor tumani, Jondor shaharchasi S.Ayniy ko’chasi 17 uy",5822711,direktor,RAHMATOV JAMSHID JO‘RAYEVICH,,01095,20208000804302014001,593 от 25.02.2025,ожидания,,,,,,,,,
,378,309739568,"""BE FIRST FARM"" MCHJ","
Toshkent shahri, Yunusobod tumani Акбаробод МФЙ, Улкаобод кучаси, 95-уй",907711350,direktor,XOLMANOV SAMANDAR ERKIN O‘G‘LI,,00440,20208000305551474001,594 от 25.02.2025,,,,,,,,,211120,25321
,379,310091358,"""SHABNAM SAYIDA FAMILY FARM"" XK","Buxoro viloyati, Jondor tumani, Zarafshon QFY Zarafshon mfy, Do'stlik ko'chasi, 425-uy",973026020,direktor,MAHMUDOVA SAYIDA SAMATOVNA,,00096,20208000305599993001,595 от 26.02.2025,,,686596,FARGONA,,,Salohiddin,1634,,
,380,308470185,""" YASMINABEGIM PHARM "" MCHJ"," Samarqand viloyati, Samarqand sh. G`. Jamshid ko`chasi,19-uy",979249862,direktor,,,00283,20208000705386694001,596 от 26.02.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,381,311609509,""" NARZIYEV MANSUR "" MCHJ","  Samarqand viloyati ,Toshxovuz MFY, Istiqlol ko'chasi , р/с-uy",,direktor,,,00439,20208000207149032001,597  от 26.02.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,382,305500164,""" BAXODIROV DAVLATBEK FARM "" MCHJ","Samarqand viloyati, Payariq tumani, Chelak shahri Toshxovuz mahallasi,Samarqand ko`chasi, 88-uy",944700345,direktor,,,01125,20208000100874555001,598 от 26.02.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,383,309983242,""" XASANOVA BAHORA FARM "" MCHJ","Samarqand viloyati, Payariq tumani, Chelak shahri Toshxovuz mahallasi, Istiqlol ko'chasi, 22-uy",942875186,direktor,,,00318,20208000105582456001,599  от 26.02.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,384,305802801,""" XASAN BOBO FARM "" MCHJ","Samarqand viloyati, Payariq tumani, Chelak shahri Toshovuz mahallasi, Istiqlol ko'chasi",979209390,direktor,,,,20208000900932451001,600 от 26.02.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,385,311428171,""" MAVLUDA SHIFO NUR"" MCHJ"," Samarqand viloyati, Payariq tumani, Payariq shahri Go'zal mahallasi, Otabek Quvvatov ko'chasi, 20 B-uy",910010061,direktor,,,00083,20208000407097713001,601  от 27.02.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,386,206461478,"""SEVINCH FARM"" XK","Buxoro viloyati, Kogon sh. Do`stlik ko`chasi, 50-uy",943128350,direktor,ESHMUROTOV KAMOL XOMITOVICH,,01037,20208000404498372001,602 от 27.02.2025,ожидания,Xolida,,Buxoro,,,,,,
,387,201831090,"""LUQMONI XAKIM"" XK","Buxoro viloyati, Kogon sh. Do`stlik ko`chasi, 50-uy",983128350,direktor,ESHMUROTOV KAMOL XOMITOVICH,,01037,20208000300348722001,603 от 27.02.2025,ожидания,Xolida,,Buxoro,,,,,,
,388,308353496,"""A-MEGA BEK FARM"" MCHJ","Toshkent shahri, Chilonzor tumani Guliston daxasi, 48-uy, 38-xona",998200595,direktor,SIROJOV G‘AYRAT BAKOYEVICH,,00440,20208000605372867001,604 от 27.02.2025,принито,ОДИНАХОН   ,33/046-02-13,ТОШКЕНТ,,,,,,
,389,306587340,"""LIFE FORTUNE"" MCHJ","Buxoro viloyati, Kogon sh. Buxoro shoh ko'chasi hududida ",936555545,direktor,XAKIMOV XAYOTJON XAKIMOVICH ,,00450,20208000605103479001,604/1 от 27.02.2025,принито,,,,,,,,,
,390,АННУЛИРОВАННЫЙ,"""A-MEGA BEK FARM"" MCHJ","Toshkent shahri, Chilonzor tumani Guliston daxasi, 48-uy, 38-xona",998200595,direktor,SIROJOV G‘AYRAT BAKOYEVICH,,00440,20208000605372867001,605 от 27.02.2025,не отправрено,ОДИНАХОН   ,33/046-02-13,ТОШКЕНТ,,,,,,
,391,,,,,direktor,,,,lazzaroy,606 от 27.02.2025,,,,,,,,,,
,392,,,,,direktor,,,,lazzaroy,607 от 27.02.2025,,,,,,,,,,
,393,,,,,direktor,,,,lazzaroy,608 от 27.02.2025,,,,,,,,,,
,394,,,,,direktor,,,, korish kk,609 от 27.02.2025,не отправрено,,,,,,,,,
,395,300059494,"""FATXULLA-SHOKIRJON"" XK","Surxondaryo viloyati, Uzun tumani, Telpakchinor QFY Yangi kuch mahallasi, raqamsiz uy",915165044,direktor,BURIYEV ALMARDON FAYZULLAYEVICH,,00433,20208000904557817001,610 от 28.02.2025,ожидания,ХОЖИМУХАММАД,93/942-25-99,ДЕНОВ,,,99/553-50-44(BRONSHIGI) 91/516-50-44 ( RAHBARI),,190500,
,396,306810482,"""MUBINAXON SHIFO NUR"" XK","
Surxondaryo viloyati, Uzun tumani, Jonchekka QFY Beshkapa mahallasi, raqamsiz uy",993766021,direktor,ZIYODULLAYEV SHAMSIDDIN KAROMAT O‘G‘LI,,00433,20208000705136633001,611 от 28.02.2025,,ХОЖИМУХАММАД,93/942-25-99,ДЕНОВ,,,95/173-97-07(BUX) 97/808-60-21 (RAHBARI),97/808-60-21,190500,
,397,306814604,"""PLATINUM FARM PLYUS"" MCHJ ","Samarqand viloyati, Samarqand sh. Daxbet ko'chasi, 24, 10",915414330,direktor,XOLMURADOV RAVSHAN BAXODIR O‘G‘LI ,,01071,20208000005136279001,612 от 28.02.2025,,,,,,,,,,
,398,305536150,"""ABDURAHIM MIRZOBOSH"" XK","
Xorazm viloyati, Urganch sh. Jayxun ko'chasi, 40-uy",985778439,direktor,"
KUSHCHANOV ATABEK RADJAPOVICH ",,00580,20208000900879168001,614 от 28.02.2025,,САОДАТ,99/629-60-00,ХОРАЗМ ,,,,,220100,
,399,206733794,"""AZAMAT GOLD FARM"" MCHJ","
Samarqand viloyati, Payariq tumani, O'rta saydov QFY Jo'raboy qishlog'i",4657792,direktor,"
ALIMOV AZAMAT FAYZULLAYEVICH ceo",,00439,20208000204545996001,615 от 28.02.2025,принито,,,,,,,,,
,400,309668919,"""CHINOR FARM 777"" MCHJ","Самарканд вилояти, САМАРҚАНД ШАҲРИ, Гиёсиддин Жамшид МФЙ, Гиёсиддин Жамшид кучаси, 48 А-уй  ",,direktor,,,01071,20208000105541489001,616 от 28.02.2025,принито,Komil,,samarqand,,,,,,
,401,205737710,"""SAYDANA SHIFO"" MCHJ","
Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi B.Mirzo ko'chasi, 3-uy",972140035,direktor,MIXIBULLAYEV JASURBEK ILHOMZODA,,01125,20208000404432340001,617 от 03.03.2025,ожидания,нодира,97/045-50-05,маргилон,,,,,151100,
,402,202908207,"""DARMON-K"" XK","Samarqand viloyati, Kattaqo'rg'on sh. Beklar ko`chasi",945375777,direktor,NASIMOVA GULZODA ABDUG‘APPAROVNA,,00450,20208000704000513001,618 от 04.03.2025,,,,,,,,,,
,403,309764894,"""AMIRXON FARM-SHIFO"" MCHJ","Samarqand viloyati, Paxtachi tumani, Ziyovuddin shaharchasi Mirzo Ulugbek mahallasi, M.Ulugbek ko‘chasi, 73-uy",995938718,direktor,RUZIQULOVA GULASAL TULQIN QIZI,,00433,20208000305554585001,619 от 04.03.2025,,Zumrad ,,Navoiy,,,97 916-26-65(bux),,,
,404,206468508,"""MOXLAROYIM SHODLIK"" XK","
Buxoro viloyati, Vobkent tumani, Vobkent shahri U.Yusupov ko'chasi, 27-uy",653353117,direktor,"
DO‘STOVA MOHIRA ELOVNA",,00450,20208000304513047001,620 от 04.03.2025,,Xolida,,Buxoro,,,,,,
,405,307996077,"""KOGON DILNURA FARM"" MCHJ","
Buxoro viloyati, Kogon sh. Do'stlik ko'chasi, 29-uy",997002962,direktor,IKROMOVA MUXLISA MUSTAFOYEVNA,,01037,20208000705316836001,621 от 04.03.2025,,Xolida,,Buxoro,,,,,,
,406,303757581,"""MIRKOMIL SULTON FARM""","Buxoro viloyati, Jondor tumani, Jondor shaharchasi Xalqobod ko'chasi, 13-uy",945449009,direktor,"RADJABOV DJAMSHIT DJALOLOVICH 
",, 01082  ,20208000200823776001,622 от 05.03.2025,,,,,,,,,,
,407,310278645,"""AZIZBEK VITO FARM"" MCHJ","Buxoro viloyati, Jondor tumani, Po'loti QFY Sho'robod mfy, Yovoni bolo qishlog`i, 47-C-uy ",945447460,direktor,HAYITOV AZAMAT SAIDMURADOVICH,,00873,20208000805619799001,623 от 05.03.2025,,,,,,,,,,
,408,АННУЛИРОВАННЫЙ,"""BIG-FAMILY-PHARM"" MCHJ","
Andijon viloyati, Andijon sh. Furqat ko`chasi, 24-manzil",901728800,direktor,"
RASULOV XURSHIDBEK RUSTAMOVICH",,00491,20208000400185448001,624 от 05.02.2025,отказнно,,,,,,,,,
,409,311481385,"""AZZAM FARM"" MCHJ","
Farg'ona viloyati, Qo'qon sh. Marg'ilon darvozasi MFY, Sarbotir ko'chasi, 27B-uy",903444446,direktor,"
MUSAYEV A’ZAMXON ALIXON O`G`LI ",,00873,20208000107123064001,625/1 от 06.02.2025,принито,JAXONGIR,90/011-41-13,QOQON,,,,,150700,
,410,311574601,"GRAND KABIR FARM"" MCHJ ","Rasadxona MFY, Katta Oʼzbek trakti
ko'chasi , 16-uy",,direktor,,,"00446",20208000807134779001,625 от 06.03.2025,принито,,,,,,,,,
,411,204985713,"""KAFOLAT FARM SERVIS"" MCHJ","Navoiy viloyati, Xatirchi tumani, Bog'chakalon QFY Bog'chakalon MFY, Bog'chakalon qishloq, 47-uy",913389111,direktor,XAMROYEV OTABEK XOLMAMATOVICH,,01125,20208000904337830001,626 от 07.03.2025,ожидания,,,,,,,,,
,412,204394412,"""FARM-SERVIS-AS"" MCHJ ","Samarqand viloyati, Kattaqo'rg'on sh. Qoradaryo ko'chasi, 6 E-uy",942873456,direktor,ABDULLAYEV SAYDULLO  SAGDULLAYEVICH,,00083 ,20208000404240623001,627 от 07.03.2025,ожидания,,,,,,,,,
,413,203759487,"""SHOHZAMON-MBS"" XK","Samarqand viloyati, Kattaqo'rg'on sh. Qoradaryo ko'chasi, 33 A-uy",901934131,direktor,TO‘YCHIYEV BAXODIRJON VALIYEVICH,,00083,20208000504147542001,628 от 07.03.2025,ожидания,,,,,,,,,
,414,311166199,""" FIZIO PHARM"" XK   ","Qashqadaryo viloyati, Qarshi sh. Roguzar  mahallasi, Jayxun ko`chasi, 1-uy",998997010146,,,,00491 ,2020 8000 9070 2141 0001,629 от 11.03.2025,принито,Husan,,qarshi,,,,,,
,415,311762383,""" FERU-ZA PHARM "" XK","Кашкадарьинская область, город Карши, Shoʻrtangaz MFY, Nasaf ko'chasi, 77-uy",998906797524,,,,00491,20208000007173895001,630 от 11.03.2025,принито,Husan,,Qarshi,,,,,,
,416,,,,,,,,,,,ожидания,,,,,,,,,
,417,301563913,"""APOLLO INVEST"" MCHJ","Buxoro viloyati, Buxoro sh. Piridastgir ko`chasi, 122-uy",914140003,direktor,IBRAGIMOV JAHONGIR SAFOYEVICH,,01082,20208000604841784001,632 от 12.03.2025,ожидания,Xolida,,Buxoro,,,,,,
,418,305311241,"""SMART PHARM-BUKHARA"" MCHJ","Buxoro viloyati, Buxoro sh. Alpomish kochasi, 16/2-uy, 24-xona",907445656,direktor,MUXTOROV G‘OLIB G‘AYRATOVICH,,00083,20208000000851760001,633 от 13.03.2025,ожидания,Xolida,,Buxoro,,,,,,
,419,306231554,"""LANDISH"" XK","
Xorazm viloyati, Urganch sh. Xonqa ko'chasi, 60-uy, 3-xona",975159994,direktor,SHARIPOV ADHAMBEK KUVONDIQ O‘G‘LI,,00083,20208000605035544001,634 от 13.03.2025,ожидания,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,420,310944734,"""IDRISPHARM"" MCHJ","Buxoro viloyati, Buxoro sh. Abdulloyi Sifatmuniy mfy, Abdullazim Somiy ko'chasi, 320-uy",998007337,direktor,FAYZIYEVA NAZOKAT NASILLOYEVNA,,01082,20208000005720608001,635 от 13.03.2025,ожидания,Xolida,,Buxoro,,,,,,
,421,301793699,"""VOBKENT POLYARIS"" XK","
Buxoro viloyati, Vobkent tumani, Vobkent shahri Зие кучаси 24 уй",33-21-729,direktor,XAMIDOV AXTAM SHAMSIDINOVICH,,00450,20208000604887319001,636 от 14.03.2025,принито,Xolida,,Buxoro,,,,,,
,422,305158598,""" YULDUZ SHULASI"" MCHJ  ","Samarqand viloyati, Pastdarg'om tumani,  Juma shahri Xovuzak mahallasi, Farovon ko'chasi,  1 a-uy",902517229,direktor,,,00450,20208000800849628001,637 от 13.03.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,423,303139725,"""NARPAY SHIFO NUR FARM"" XK ","Samarqand viloyati, Narpay tumani, Oqtosh shahri Guliston ko'chasi",664323323,direktor,BOZAROV NURIDDIN MURTOZAYEVICH,,00433,20208000200442413001,638 от 17.03.2025,ожидания,Zumrad,,Navoiy,,,,,,
,424,302307231,"""AZAMAT BARAKA SAVDO"" MCHJ","Sirdaryo viloyati, Guliston sh. 4-mavze, 39-uy, 20-xonadon",672262691,direktor,"
MIRZAJONOVA RANO NORXODJAYEVNA ",,00364,20208000004979050001,639 от 17.03.2025,,ХУЛКАР ,94/580-06-86,ГУЛИСТОН,,,,,120100,
,425,206801401,"""SAMANDAR AND LYUKS"" XK","Andijon viloyati, Baliqchi tumani, Baliqchi shaharchasi Sultonov ko'chasi, 32-uy",916169882,direktor,ORTIQOVA DILFUZA ANVAROVNA,,01125,20208000204555773001,640 от 17.03.2025,,ИСЛОМБЕК,95/037-09-01,АНДИЖОН ВИЛОЯТИ БАЛИҚЧИ ТУМАНИ,,,,,170300,
,426,201533858,"""S-7 APTEKA"" XK","Xorazm viloyati, Urganch tumani, Qoroul QFY Yoshlik mahallasi, Ibn Sino ko'chasi, 2b-uy",999677777,direktor,SABIROV DAVRONBEK OTAMURATOVICH,,01129,20208000900547239001,641 от 18.03.2025,принито,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,427,302488808,"""MADINA- FARM SINTEZ"" MCHJ","Buxoro viloyati, Buxoro sh. Bog`i Amir ko`chasi, 29-uy",909245435,direktor,SHADMANOV YUNUS XOTAMOVICH,,01082,20208000605018345001,642 от 18.03.2025,,,,,,,,,,
,428,303550628,"""VAKSINA HEALTHCARE"" MCHJ","Toshkent shahri, Shayxontohur tumani Farobiy ko'chasi, 29-uy",909890305,direktor,AVALOV ELBEK MUXIDDINOVICH,,00445,20208000400525944001,643 от 19.03.2025,принито,ХИКМАТИЛЛА,95/870-71-77,ТОШКЕНТ,,,,,,
,429,АННУЛИРОВАННЫЙ,"""NAVBAHOR DORI TA`MINOTI"" MCHJ","Navoiy viloyati, Navbahor tumani, Beshrabot QFY Beshrabot qo'rg'oni",905008800,direktor,HAMIDOVA ZEBINISO KOMIL QIZI,,00450,20208000000779169001,644 от 19.03.2025,принито,Уткирака,,Навоий,,,,,,
,430,307328004,"""ELYORBEK  SIFAT  FARM"" MCHJ ","
Andijon viloyati, Shaxrixon tumani, Shaxrixon shahri A.Temur ko'chasi",936301122,direktor,TOLIPOV ELYORBEK MAMADALIYEVICH,,00450,20208000605214847001,645 от 19.03.2025,не отправрено,ISLOMBEK,95/037-09-01,ANDIJON VILOYATI BALIQCHI TUMANI,,,,,170300,
,431,301091583,"""SHAXZOD SHAXBOZ INVEST "" MCHJ"," Samarqand viloyati, Urgut tumani, Urgut  shahri Navbog mahallasi, Navoiy shox ko'chasi,  152-uy",907422619,direktor,,,00433,20208000904794452001,646 от 19.03.2025,принито,Komil ,97/575 76 15,samarqand,,,,,,
,432,308229253,"""SHIFO-PHARM 111"" MCHJ","Toshkent shahri, Uchtepa tumani To'qimachi berk ko'chasi, 4-uy",990090509,direktor,IBRAGIMOV RUSTAM SULTANMURATOVICH,,01121,20208000405349286001,647 от 19.03.2025,ожидания,DAVRON,94/046-06-41,TOSHKENT,,,,,,
,433,309123314,"""KARDIO DIABET"" MCHJ","Samarqand viloyati, Bulung'ur tumani, Soxibkor QFY Bo`dana mahallasi",901218040,direktor,"
DOVUROV MUXRIDDIN ISMOIL O‘G‘LI",,01125,20208000805470800001,648 от 19.03.2025,ожидания,,,,,,,,,
,434,300844254,"""VISION FARM"" XK","Samarqand viloyati, Kattaqo'rg'on tumani, Saroyqo'rg'on QFY Yakkabog`qishlog'i",993121171,direktor,NIZOMOVA DILRABO YUSUFOVNA,,01061,20208000704710512001,649 от 24.03.2025,принито,Zumrad ,,Navoiy,,,,,,
,435,300747802,"""FARXOD TABOBATI"" XK","Samarqand viloyati, Kattaqo'rg'on tumani, Payshanba shaharchasi B Saidov ko’chasi",-,direktor,JURAYEV FARXOD RAYIMBERDIYEVICH,,00439,20208000604686393001,650 от 24.03.2025,ожидания,Zumrad ,,Navoiy,,,,,,
,436,310751604,""" MADINA-FARM QARSHI "" MCHJ"," Qashqadaryo viloyati, Qarshi sh. Qavali   mahallasi, Jayxun ko'chasi, 31-uy",905139200,direktor,,,01158,20208000205689391001,651 от 24.03.2025,принито,Husan,,Qarshi,,,,,,
,437,304596158,"""BILOL-BURXON FARM"" MCHJ","Farg'ona viloyati, Farg'ona sh. Bozor yo'li ko'chasi, 23-uy",902743252,direktor,PULATOV OYBEK XAMIDOVICH,,00491,20208000000787423001,652 от 24.03.2025,принито,GULSANAM ,94/553-96-06,FARGONA,,,,,150100,
,438,306693692,MCHJ WORK AND MONEY ,"Andijon viloyati, Baliqchi tumani, Guliston QFY Sherobod mahallasi",943820888,direktor,"
XOLDARALIYEV BEKZOD SALOXIDIN O‘G‘LI ",,01125,20208000605122152001,653 от 25.03.2025,ожидания,ISLOMBEK,95/037-09-01,ANDIJON VILOYATI ,, BALIQCHI TUMANI,,,170300,
,439,302594787,"""MAQSUD JO'RABEK FARM"" MCHJ ","Buxoro viloyati, Jondor tumani, Jondor shaharchasi A.Navoiy ko'chasi, 20-uy",945439229,direktor,MANSUROVA SHOXSANAM NUSRATOVNA,,01037,20208000400342184001,654 от 25.03.2025,ожидания,,,,,,,,,
,440,203744277,"""ISTIQLOL-10"" XK ","
Surxondaryo viloyati, Muzrabot tumani, Xalqobod QFY Yangi Hayot mahallasi, A.Temur ko'chasi, raqamsiz uy",911651283,direktor,NAZAROV ABDURASHID RAXIMOVICH,,00433,20208000304145289001,655 от 26.03.2025,ожидания,AZIZA ,93/794-30-29,TERMIZ,,,,,190100,
,441,203600170,"""DOKTOR MER"" XK","Surxondaryo viloyati, Denov tumani, Qiziljar QFY Buyuk ipak yo'li mahallasi, Obod O'rtabo'z ko'chasi, 39-uy",972444452,direktor,XXX MAFTUNBEK SOBIRJON O‘G‘LI,,00083,20208000804116730001,656 от 26.03.2025,ожидания,XOJIMUHAMMAD,93/942-25-99,DENOV,,,,,190500,
,442,300780709,""" SAMARQAND PROVIZOR "" MCHJ","Samarqand viloyati, Samarqand sh. Narpay ko'chasi, 6-uy",979217473,direktor,,,00312,20208000304696208001,657  от 27.03.2025,ожидания,Komil ,97/575 76 15,samarqand,,,,,,
,443,206987843,"""DILDORA PYLUS FARM"" XK","Ферганская область, РИШТАНСКИЙ РАЙОН, РИШТОН ТУМАНИ БУЛОКБОШИ КИШЛОГИ",,direktor,YADGAROV AZIZJON ASATULLAYEVICH,,01125,20208000604761552001,658  от 27.03.2025,ожидания,Дилшод,88/664-63-00,Фаргона вилояти Олтиариқ тумани,,,,,151200,
,444,310079140,""" MUSAFFO PLUS PHARM "" MCHJ","Самарканд вилояти, САМАРҚАНД ШАҲРИ, Оксарой МФЙ, Дагбитская кучаси, 14 уй",904602529,direktor,,,00491,20208000605596341001,"659  от  27,03,2025",ожидания,Komil ,97/575 76 15,samarqand,,,,,,
,445,АННУЛИРОВАННЫЙ,,,,,,,,,,отказнно,,,,,,,,,
,446,310107255,"""FARRUX DAVO PHARM"" XK","Xorazm viloyati, Xiva tumani, Gandimyon QFY Polasulton mahallasi, Az-Zamaxshariy ko'chasi, 242-uy",907378822,direktor,XAYITOV FURQAT IKROMOVICH,,00440,20208000305599352001,"661  от  28,03,2025",ожидания,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,447,303159566,"""DAVLATYOR SHIFO"" MCHJ","Xorazm viloyati, Qo'shko'pir tumani, O'zbekyap QFY Bo'rloq mahallasi",942384350,direktor,QURYOZOV SHERZOD SHARIFOVICH,,01125,20208000100438441001,"662 от 28,03,2025",ожидания,SAODAT,99/629-60-00,URGENCH,,,,,220100,
,448,310687097,"""ZIKIRILLO OTA FARM"" MCHJ","Toshkent viloyati, Bekobod sh. Тurkiston mahallasi, Turon berk ko'chasi, 363-uy",998998441385,direktor,BARATOVA DILNAZA MAXAMADJONOVNA,,00450,20208000905679516001,"663  от  28,03,2025",принито,,,,,,,,,
,449,200418027,"""USMON"" MCHJ ","
Xorazm viloyati, Xazorasp tumani, Sanoat QFY ""HAZORASP BUYUM BOZORI"" OAJ xududida,16-binoda",934672001,direktor,MASHARIPOV GULOMJON KURBANBAYEVICH,,01125,20208000000435604001,"664  от  02,04,2025",принито,,,,,,,,,
,450,311357024,"""GRADUSNIK MED PHARM SARIOSIYO"" XK","
Surxondaryo viloyati, Sariosiyo tumani, Sariosiyo shaharchasi Afrosiyob mahallasi, Kamoliddin Bexzod ko'chasi, 70-uy",970769398,direktor,"
RASULOV NAVRO`Z TOIYROVICH ",,00440,20208000007081223001,"665  от  04,04,2025",принито,,,,,,,,,
,451,,,,,direktor,,,,,666  от  ,,,,,,,,,,
